conditionName,COUPLING_TYPE,COUPLING_G,finalVortexCount,vortexLifetimeAverage,R_A_global_mean,R_B_global_mean,R_AB_relative_mean,R_A_local_average_mean,R_B_local_average_mean,amplitudeStdA_end,amplitudeStdB_end,totalEnergyCombined_end,fieldABDistance_end,memoryABDistance_end,possibleTransitionDetected,collapseDetected,uniformizationDetected,stableDynamicBalanceScore,notes
Condition A amplitude scan,amplitude,0.01,8,0,0.4041534774828333,0.40415606832886247,0.000004695786622819311,0.9652615538964491,0.9652772628642474,0.11528322116722008,0.11527941818782113,24496.453315597464,0.016922198355653846,0.017179333775828646,false,false,false,0.6010375192798063,Completed without sampled non-finite values or danger-sign thresholds.
Condition A amplitude scan,amplitude,0.02,8,0,0.4041696271367915,0.4041696478424286,0.000001648615978642874,0.9652665784677439,0.9652746070967198,0.11525946330163277,0.11525912068909275,24504.34332387336,0.0005184549128499048,0.0005342542042066398,true,false,false,0.6010419972184078,Completed without sampled non-finite values or danger-sign thresholds.
Condition A amplitude scan,amplitude,0.03,8,0,0.4041750327013955,0.4041745712113132,0.000001176535350126422,0.965268284024775,0.9652737962338891,0.1152544663716945,0.11525443933583321,24505.014940231507,0.00001731265741095444,0.00001810644901596357,true,false,false,0.601043406355251,Completed without sampled non-finite values or danger-sign thresholds.
Condition A amplitude scan,amplitude,0.05,8,0,0.40417943451116484,0.40417874050616703,8.965348797986843e-7,0.9652695220789883,0.9652732263515886,0.11525157835045959,0.11525157832614676,24505.340145293212,2.4267793626546866e-8,2.613300661698033e-8,true,false,false,0.6010445477434465,Completed without sampled non-finite values or danger-sign thresholds.
Condition A amplitude scan,amplitude,0.075,8,0,0.4041812991966139,0.4041806646026612,8.101791162704534e-7,0.9652703177824836,0.9652729947362524,0.11525038006368324,0.11525038006367794,24505.46255175594,9.493856204945559e-12,1.0599768977496614e-11,true,false,false,0.6010450429301304,Completed without sampled non-finite values or danger-sign thresholds.
Condition A amplitude scan,amplitude,0.1,8,0,0.40418226699074866,0.4041817089902929,7.120223143412671e-7,0.9652707274310689,0.9652728051354926,0.1152498537025648,0.11524985370256527,24505.51550439607,5.196711952984516e-15,6.0133374075207684e-15,false,false,false,0.6010453189920516,Completed without sampled non-finite values or danger-sign thresholds.
Condition A amplitude scan,amplitude,0.15,8,0,0.40418332364537274,0.40418290370554744,5.361270783469242e-7,0.9652711215765408,0.9652724885154923,0.11524942872961776,0.11524942872961921,24505.56220269713,1.1293909177149635e-16,1.1404019049865105e-16,false,false,false,0.6010456443870954,Completed without sampled non-finite values or danger-sign thresholds.
Condition A amplitude scan,amplitude,0.2,8,0,0.4041836971804263,0.40418338402898285,3.9994814461269696e-7,0.9652713837640017,0.965272331673686,0.1152492161482212,0.11524921614822169,24505.582187654752,7.415275801876566e-17,7.419673344222185e-17,false,false,false,0.60104578516414,Completed without sampled non-finite values or danger-sign thresholds.
Condition A amplitude scan,amplitude,0.3,8,0,0.40418450179886795,0.40418433386261876,2.145832784642436e-7,0.9652714594044015,0.9652719295450005,0.11524904816519568,0.11524904816519568,24505.598166830725,1.3847936755470915e-17,1.364642459229984e-17,false,false,false,0.6010460508118662,Completed without sampled non-finite values or danger-sign thresholds.
Condition A amplitude scan,amplitude,0.4,8,0,0.40418457394735813,0.40418449749463264,9.771729035016103e-8,0.9652716250385571,0.9652718300227621,0.11524899224626027,0.11524899224626027,24505.60345617077,1.3306997031656623e-17,1.3371517741020558e-17,false,false,false,0.6010461095009263,Completed without sampled non-finite values or danger-sign thresholds.
Condition A amplitude scan,amplitude,0.5,8,0,0.4041845799865689,0.4041845656354896,1.8350800947732812e-8,0.9652717141595459,0.9652717509851689,0.11524897466690176,0.11524897466690176,24505.605116530707,0,0,false,false,false,0.6010461386150571,fieldABDistance reached 0; possible over-coupling fusion/uniformization.
